names,scores,logfoldchanges,pvals,pvals_adj
HIST2H2AA3,2.780948,2.2302616,0.005420042902280094,0.03669790921533907
SLC2A6,2.7438686,2.704654,0.0060719856404677875,0.04072257210492101
TOB1,2.7365093,1.6244203,0.006209483602691369,0.04154970302465812
BASP1,2.700264,0.88611627,0.0069284461861541064,0.04589676403857943
TMEM154,2.6698086,2.3103728,0.007589451019804881,0.04975776008073739
IFT43,-2.6691854,-1.2282279,0.007603547129132913,0.04979489983355485
PEF1,-2.6712427,-0.5271358,0.007557096568131361,0.04958121938228466
IFI27L1,-2.671256,-1.3440044,0.007556799630614905,0.04958121938228466
LZIC,-2.671823,-0.67931664,0.007544041209198519,0.04952722161293137
WDR5,-2.6720276,-1.397097,0.007539446981179382,0.0495128941383978
CDIP1,-2.6726868,-0.5481653,0.007524643984184723,0.04944731637366459
DCAF13,-2.6729045,-0.61338663,0.00751976471737191,0.049431075851081634
PWP2,-2.6752653,-1.460233,0.007467014110634404,0.04910004249750598
APOO,-2.6753707,-1.0737708,0.007464664307981962,0.04910004249750598
C15orf61,-2.6759644,-0.5693617,0.007451459020564555,0.04904488689745743
MIOS,-2.6769204,-0.66324925,0.007430227899990694,0.048920830198495496
TMEM55B,-2.6807814,-0.57519215,0.007345048905590184,0.048422128767778065
ABCD4,-2.6830366,-1.2755256,0.007295700765836016,0.0481431825849719
CD27-AS1,-2.6880615,-0.9056788,0.007186817943827756,0.04747045867723295
CRYZ,-2.6912003,-1.7505213,0.007119544249142017,0.04707153748490707
TRAPPC2P1,-2.6949723,-0.8636085,0.007039450973533489,0.046556987447058315
HAUS4,-2.697679,-1.4245762,0.0069824711202423435,0.046224814455806215
PI4KA,-2.6988661,-0.6810653,0.006957616948332153,0.0460751349459067
RCN1,-2.7044845,-0.53927106,0.00684104878427113,0.0453324372150749
HNRNPLL,-2.7070165,-0.87006074,0.006789087061669695,0.04501717321996678
C1S,-2.7072704,-1.0214026,0.0067838969708942974,0.044997292702904375
ARHGAP5,-2.7114148,-0.7644181,0.0066996731677084614,0.04448175629362452
RP11-426C22.5,-2.7122161,-1.1540686,0.0066835000799215965,0.04438873281808814
FARP1,-2.7150187,-1.7163719,0.006627203293748085,0.04404333325262364
SHMT1,-2.7211876,-1.7132246,0.006504783650200496,0.043285803421382815
DPP3,-2.722302,-1.0263345,0.006482886477120195,0.043182081923686076
ZDHHC14,-2.7247715,-0.9308495,0.006434598964059121,0.042916141043914786
HSCB,-2.726107,-0.64331686,0.006408623906445584,0.04275678913728352
FTSJ2,-2.7291303,-0.6108203,0.006350159569460063,0.0423805025362307
CTA-29F11.1,-2.73249,-0.9498251,0.006285755521399336,0.04196431710530308
ATIC,-2.7332022,-0.89167047,0.0062721793923353406,0.04190093418329066
FBXW2,-2.7338157,-0.5676389,0.006260509993519376,0.0418365916852081
BET1,-2.7361302,-0.5193237,0.006216643302352347,0.041584056811336374
FAIM3,-2.7384183,-1.0115428,0.0061735487357603225,0.04133619765049695
GPRC5C,-2.7443104,-2.3680685,0.006063818774463333,0.040681090072208416
CALD1,-2.7510166,-1.31365,0.005941062209105274,0.03989665230314758
EMC9,-2.7513497,-0.9552704,0.005935025404321413,0.039869154622157815
