names,scores,logfoldchanges,pvals,pvals_adj
ALG12,-0.9208599,-0.31879532,0.3571235827077519,1.0
POGLUT1,-0.9212885,-0.0054115593,0.3568998159342269,1.0
BMF,-0.9216611,-0.4941081,0.356705382740813,1.0
PSD4,-0.9217336,0.05216712,0.3566675362540088,1.0
VAMP4,-0.9218029,-0.0007773835,0.35663141242246443,1.0
WDR75,-0.92184246,-0.12710902,0.35661077126814855,1.0
TMOD3,-0.92189187,0.28199038,0.3565849708839267,1.0
NNT,-0.92196774,0.1319929,0.3565454125794493,1.0
FAM20B,-0.92216223,-0.44461858,0.35644394957573367,1.0
SLC9A6,-0.92255133,-0.13501568,0.35624107816784323,1.0
ZNF76,-0.92272604,-0.5090804,0.3561499816524004,1.0
IRF3,-0.92353386,0.23951833,0.3557290660011102,1.0
CCL4L2,-0.9238174,-0.59747124,0.35558139044588644,1.0
GNG11,-0.9239988,0.069660746,0.3554869670547929,1.0
RAPH1,-0.9244966,-0.59879977,0.35522781326730546,1.0
FOSL2,-0.9245988,0.43490514,0.3551746242637912,1.0
CASP8AP2,-0.9251692,-0.2829959,0.35487788760513106,1.0
VWA9,-0.92546266,-0.24955559,0.35472529215862536,1.0
ATXN1L,-0.92548573,0.069687836,0.35471329202717317,1.0
UBFD1,-0.9258221,-0.18528171,0.35453846204869777,1.0
PPM1N,-0.9260298,-0.050616246,0.3544305060162677,1.0
NDC1,-0.9260858,-0.81646764,0.3544013785807688,1.0
ZNF260,-0.9263364,-0.8089717,0.35427118029869864,1.0
TMEM57,-0.92651117,-0.10293046,0.35418040201289613,1.0
XYLT1,-0.92661005,-0.10364753,0.3541290245911851,1.0
MFN1,-0.9269233,-0.14095396,0.3539663604874488,1.0
RANGAP1,-0.92705846,-0.28339455,0.3538961726720121,1.0
DEF6,-0.92728925,0.12748696,0.35377636014398206,1.0
CSTF2,-0.9279421,-0.85653794,0.3534376006816553,1.0
MCCC1,-0.9279454,-0.30337033,0.35343589029594646,1.0
COL8A2,-0.92801464,-0.94113165,0.35339997340488705,1.0
SAMD1,-0.9281235,-0.07614373,0.3533435372387417,1.0
